                |       |        |        |        |
                |       |  T amb | T boil |  Tboil |
           Time |   PWM |    (C) |    (C) | tgt(C) |
----------------------------------------------------
                |       |        |        |        |
                |       |  T amb | T boil |  Tboil |
           Time |   PWM |    (C) |    (C) | tgt(C) |
----------------------------------------------------
          06-27 |20:16:31 |     25 | absent | absent |74 |
          06-27 |20:16:41 | 99.000 | absent | absent |74 |
          06-27 |20:16:51 | 99.000 | absent | absent |74 |
          06-27 |20:17:01 | 99.000 | absent | absent |74 |
          06-27 |20:17:11 | 99.000 | absent | 36.375 |74 |
          06-27 |20:17:21 | 99.000 | 28.062 | 36.312 |74 |
                |       |        |        |        |
                |       |  T amb | T boil |  Tboil |
           Time |   PWM |    (C) |    (C) | tgt(C) |
----------------------------------------------------
          06-27 |20:17:27 |     25 | 28.000 | 36.250 |74 |
          06-27 |20:17:37 | 99.000 | 28.000 | 36.250 |74 |
          06-27 |20:17:47 | 99.000 | 28.000 | 36.250 |74 |
          06-27 |20:17:58 | 99.000 | 28.062 | 36.187 |74 |
          06-27 |20:18:08 | 99.000 | 28.000 | 36.187 |74 |
          06-27 |20:18:18 | 99.000 | 28.000 | 36.125 |74 |
          06-27 |20:18:28 | 99.000 | 28.000 | 36.062 |74 |
          06-27 |20:18:38 | 99.000 | 28.000 | 36.062 |74 |
          06-27 |20:18:48 | 99.000 | 28.000 | 36.000 |74 |
          06-27 |20:18:58 | 99.000 | 28.062 | 36.000 |74 |
          06-27 |20:19:08 | 99.000 | 28.000 | 36.000 |74 |
          06-27 |20:19:18 | 99.000 | 28.000 | 36.000 |74 |
          06-27 |20:19:28 | 99.000 | 28.062 | 35.937 |74 |
          06-27 |20:19:38 | 99.000 | 28.000 | 35.937 |74 |
          06-27 |20:19:48 | 99.000 | 28.000 | 35.875 |74 |
          06-27 |20:19:59 | 99.000 | 28.000 | 35.812 |74 |
          06-27 |20:20:09 | 99.000 | 28.000 | 35.812 |74 |
          06-27 |20:20:19 | 99.000 | 28.000 | 35.812 |74 |
          06-27 |20:20:29 | 99.000 | 28.000 | 35.750 |74 |
          06-27 |20:20:39 | 99.000 | 28.062 | 35.750 |74 |
          06-27 |20:20:49 | 99.000 | 28.000 | 35.750 |74 |
          06-27 |20:20:59 | 99.000 | 28.062 | 35.687 |74 |
          06-27 |20:21:09 | 99.000 | 28.000 | 35.687 |74 |
          06-27 |20:21:19 | 99.000 | 28.062 | 35.687 |74 |
          06-27 |20:21:29 | 99.000 | 28.062 | 35.625 |74 |
          06-27 |20:21:39 | 99.000 | 28.062 | 35.625 |74 |
          06-27 |20:21:49 | 99.000 | 28.000 | 35.562 |74 |
          06-27 |20:21:59 | 99.000 | 28.000 | 35.625 |74 |
          06-27 |20:22:10 | 99.000 | 28.062 | 35.562 |74 |
          06-27 |20:22:20 | 99.000 | 28.000 | 35.562 |74 |
          06-27 |20:22:30 | 99.000 | 28.062 | 35.562 |74 |
          06-27 |20:22:40 | 99.000 | 28.000 | 35.500 |74 |
          06-27 |20:22:50 | 99.000 | 28.000 | 35.500 |74 |
          06-27 |20:23:00 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:23:10 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:23:20 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:23:30 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:23:40 | 99.000 | 28.000 | 35.375 |74 |
          06-27 |20:23:50 | 99.000 | 27.937 | 35.375 |74 |
          06-27 |20:24:00 | 99.000 | 27.937 | 35.437 |74 |
          06-27 |20:24:10 | 99.000 | 27.937 | 35.437 |74 |
          06-27 |20:24:20 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:24:30 | 99.000 | 28.000 | 35.500 |74 |
          06-27 |20:24:40 | 99.000 | 27.937 | 35.500 |74 |
          06-27 |20:24:51 | 99.000 | 28.000 | 35.437 |74 |
          06-27 |20:25:01 | 99.000 | 28.000 | 35.500 |74 |
          06-27 |20:25:11 | 99.000 | 27.937 | 35.500 |74 |
          06-27 |20:25:21 | 99.000 | 28.000 | 35.500 |74 |
          06-27 |20:25:31 | 99.000 | 27.937 | 35.500 |74 |
          06-27 |20:25:41 | 99.000 | 28.000 | 35.562 |74 |
          06-27 |20:25:51 | 99.000 | 28.000 | 35.562 |74 |
          06-27 |20:26:01 | 99.000 | 28.000 | 35.625 |74 |
          06-27 |20:26:11 | 99.000 | 28.000 | 35.687 |74 |
          06-27 |20:26:21 | 99.000 | 28.000 | 35.750 |74 |
          06-27 |20:26:31 | 99.000 | 28.000 | 36.000 |74 |
          06-27 |20:26:41 | 99.000 | 28.000 | 36.125 |74 |
          06-27 |20:26:51 | 99.000 | 27.937 | 36.375 |74 |
          06-27 |20:27:02 | 99.000 | 27.937 | 36.500 |74 |
          06-27 |20:27:12 | 99.000 | 28.000 | 36.625 |74 |
          06-27 |20:27:22 | 99.000 | 28.000 | 36.625 |74 |
          06-27 |20:27:32 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:27:42 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:27:52 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:28:02 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:28:12 | 99.000 | 27.937 | 36.687 |74 |
          06-27 |20:28:22 | 99.000 | 27.937 | 36.562 |74 |
          06-27 |20:28:32 | 99.000 | 27.937 | 36.625 |74 |
          06-27 |20:28:42 | 99.000 | 27.937 | 36.812 |74 |
          06-27 |20:28:52 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:29:03 | 99.000 | 28.000 | 36.625 |74 |
          06-27 |20:29:13 | 99.000 | 28.000 | 36.625 |74 |
          06-27 |20:29:23 | 99.000 | 28.000 | 36.687 |74 |
          06-27 |20:29:33 | 99.000 | 28.000 | 36.750 |74 |
          06-27 |20:29:43 | 99.000 | 27.937 | 36.750 |74 |
          06-27 |20:29:53 | 99.000 | 28.062 | 36.687 |74 |
          06-27 |20:30:03 | 99.000 | 28.000 | 36.875 |74 |
          06-27 |20:30:13 | 99.000 | 28.000 | 37.125 |74 |
          06-27 |20:30:23 | 99.000 | 28.000 | 37.187 |74 |
          06-27 |20:30:33 | 99.000 | 28.000 | 37.250 |74 |
          06-27 |20:30:43 | 99.000 | 28.000 | 37.312 |74 |
          06-27 |20:30:53 | 99.000 | 28.000 | 37.312 |74 |
          06-27 |20:31:03 | 99.000 | 28.062 | 37.312 |74 |
          06-27 |20:31:13 | 99.000 | 28.000 | 37.312 |74 |
          06-27 |20:31:23 | 99.000 | 28.000 | 37.312 |74 |
          06-27 |20:31:34 | 99.000 | 28.000 | 37.375 |74 |
          06-27 |20:31:44 | 99.000 | 28.000 | 37.437 |74 |
          06-27 |20:31:54 | 99.000 | 28.000 | 37.500 |74 |
          06-27 |20:32:04 | 99.000 | 27.937 | 37.562 |74 |
          06-27 |20:32:14 | 99.000 | 27.937 | 37.562 |74 |
          06-27 |20:32:24 | 99.000 | 27.937 | 37.687 |74 |
          06-27 |20:32:34 | 99.000 | 28.000 | 37.687 |74 |
          06-27 |20:32:44 | 99.000 | 28.000 | 37.812 |74 |
          06-27 |20:32:54 | 99.000 | 28.000 | 38.000 |74 |
          06-27 |20:33:04 | 99.000 | 28.000 | 38.312 |74 |
          06-27 |20:33:14 | 99.000 | 27.937 | 38.687 |74 |
          06-27 |20:33:24 | 99.000 | 27.937 | 38.687 |74 |
          06-27 |20:33:35 | 99.000 | 27.937 | 38.750 |74 |
          06-27 |20:33:45 | 99.000 | 27.937 | 38.875 |74 |
          06-27 |20:33:55 | 99.000 | 27.937 | 38.937 |74 |
          06-27 |20:34:05 | 99.000 | 27.937 | 39.062 |74 |
          06-27 |20:34:15 | 99.000 | 27.937 | 39.000 |74 |
          06-27 |20:34:25 | 99.000 | 27.937 | 38.875 |74 |
          06-27 |20:34:35 | 99.000 | 27.937 | 38.812 |74 |
          06-27 |20:34:45 | 99.000 | 27.937 | 38.812 |74 |
          06-27 |20:34:55 | 99.000 | 28.000 | 39.125 |74 |
          06-27 |20:35:05 | 99.000 | 27.937 | 39.375 |74 |
          06-27 |20:35:15 | 99.000 | 27.937 | 39.562 |74 |
