                 |        |        |        |        |        |     |        |   flow |    amt |    pct |   ETOH |
                 | Parrot | T boil | T sthd | T cool | T cool | jar |        |   rate |   coll |    alc |    rem |
            Time |  T (C) |    (C) |    (C) | in (C) | out(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |
-------------------------------------------------------------------------------------------------------------------
  07-10 07:04:57 | 27.687 | 86.125 | 70.750 | absent | 27.437 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:08 | 27.625 | 86.187 | 71.937 | absent | 27.625 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:18 | 27.687 | 86.250 | 72.812 | absent | 28.000 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:28 | 27.687 | 86.312 | 73.375 | absent | 28.562 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:38 | 27.687 | 86.375 | 73.812 | absent | 29.312 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:48 | 27.687 | 86.437 | 74.187 | absent | 30.062 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:05:58 | 27.687 | 86.437 | 74.437 | absent | 30.937 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:06:08 | 27.687 | 86.437 | 74.687 | absent | 31.625 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:06:18 | 27.687 | 86.500 | 74.875 | absent | 32.250 |  21 |   HEAT |      0 |11314.8 | 85.198 |3706.23 |
  07-10 07:06:28 | 27.687 | 86.500 | 75.125 | absent | 32.750 |  21 |   HEAT |-35911.326 | 6861.8 | -0.025 |3705.10 |
  07-10 07:06:38 | 27.687 | 86.500 | 75.312 | absent | 33.125 |  21 |   HEAT |      0 | 6861.8 | -0.025 |3705.10 |
  07-10 07:06:48 | 27.687 | 86.500 | 75.437 | absent | 33.500 |  21 |   HEAT |      0 | 6861.8 | -0.025 |3705.10 |
  07-10 07:06:58 | 27.687 | 86.500 | 75.625 | absent | 33.750 |  21 |   HEAT |      0 | 6861.8 | -0.025 |3705.10 |
  07-10 07:07:08 | 27.687 | 86.500 | 75.750 | absent | 33.937 |  21 |   HEAT |      0 | 6861.8 | -0.025 |3705.10 |
