Time,PWM,T boiler (C),T stillhead(C),T stillhead target (C),jar #,amount collected
Thu 11 Jan 2024 08:20:16 AM PST,38,27.250,4.312,70,5,
Thu 11 Jan 2024 08:20:27 AM PST,44.666,27.437,4.312,70,5,
Thu 11 Jan 2024 08:20:37 AM PST,55.614,27.562,4.375,70,5,
Thu 11 Jan 2024 08:20:47 AM PST,66.488,27.687,4.312,70,5,
Thu 11 Jan 2024 08:20:57 AM PST,77.499,27.875,4.312,70,5,
Thu 11 Jan 2024 08:21:07 AM PST,88.447,28.062,4.375,70,5,
Thu 11 Jan 2024 08:21:17 AM PST,99.321,28.312,4.437,70,5,
Thu 11 Jan 2024 08:21:27 AM PST,99,28.500,4.375,70,5,
Time,PWM,T boiler (C),T stillhead(C),T stillhead target (C),jar #,amount collected
Thu 11 Jan 2024 08:23:00 AM PST,38,31.437,4.312,70,5,
Thu 11 Jan 2024 08:23:11 AM PST,44.666,31.875,4.375,70,5,
Thu 11 Jan 2024 08:23:21 AM PST,55.540,32.312,4.375,70,5,
Thu 11 Jan 2024 08:23:31 AM PST,66.477,32.750,4.375,70,5,
Thu 11 Jan 2024 08:23:41 AM PST,77.414,33.250,4.375,70,5,
Thu 11 Jan 2024 08:23:51 AM PST,88.351,33.750,4.375,70,5,
Thu 11 Jan 2024 08:24:01 AM PST,99.288,34.250,4.375,70,5,
Thu 11 Jan 2024 08:24:11 AM PST,99,34.875,4.375,70,5,
Thu 11 Jan 2024 08:24:21 AM PST,99,35.375,4.375,70,5,
Thu 11 Jan 2024 08:24:31 AM PST,99,35.875,4.375,70,5,
Thu 11 Jan 2024 08:24:41 AM PST,99,36.437,4.375,70,5,
Thu 11 Jan 2024 08:24:51 AM PST,99,37.000,4.375,70,5,
Time,PWM,T boiler (C),T stillhead(C),T stillhead target (C),jar #,amount collected
Thu 11 Jan 2024 08:25:36 AM PST,38,39.812,4.437,70,5,
Thu 11 Jan 2024 08:25:47 AM PST,44.520,40.500,4.375,70,5,
Thu 11 Jan 2024 08:25:57 AM PST,55.519,41.187,4.437,70,5,
Thu 11 Jan 2024 08:26:07 AM PST,66.384,41.875,4.375,70,5,
Thu 11 Jan 2024 08:26:17 AM PST,77.383,42.562,4.437,70,5,
Time,PWM,T boiler (C),T stillhead(C),T stillhead target (C),jar #,amount collected
Thu 11 Jan 2024 08:29:53 AM PST,38,58.187,4.375,70,5,
Thu 11 Jan 2024 08:30:04 AM PST,44.592,59.000,4.375,70,5,
Thu 11 Jan 2024 08:30:14 AM PST,55.529,59.750,4.375,70,5,
Thu 11 Jan 2024 08:30:24 AM PST,66.466,60.500,4.375,70,5,
Thu 11 Jan 2024 08:30:34 AM PST,77.403,61.250,4.375,70,5,
Thu 11 Jan 2024 08:30:44 AM PST,88.340,62.062,4.375,70,5,
Thu 11 Jan 2024 08:30:54 AM PST,99.277,62.812,4.375,70,5,
Thu 11 Jan 2024 08:31:04 AM PST,99,63.562,4.437,70,5,
Thu 11 Jan 2024 08:31:14 AM PST,99,64.312,4.437,70,5,
Thu 11 Jan 2024 08:31:24 AM PST,99,65.000,4.437,70,5,
Thu 11 Jan 2024 08:31:34 AM PST,99,65.750,4.375,70,5,
Thu 11 Jan 2024 08:31:44 AM PST,99,66.437,4.437,70,5,
Thu 11 Jan 2024 08:31:54 AM PST,99,67.125,4.375,70,5,
Thu 11 Jan 2024 08:32:04 AM PST,99,67.750,4.375,70,5,
Thu 11 Jan 2024 08:32:14 AM PST,99,68.312,4.375,70,5,
Thu 11 Jan 2024 08:32:24 AM PST,99,68.937,4.437,70,5,
Thu 11 Jan 2024 08:32:34 AM PST,99,69.500,4.437,70,5,
Thu 11 Jan 2024 08:32:44 AM PST,99,70.062,4.375,70,5,
Thu 11 Jan 2024 08:32:54 AM PST,99,70.562,4.375,70,5,
Thu 11 Jan 2024 08:33:04 AM PST,99,71.125,4.437,70,5,
Thu 11 Jan 2024 08:33:14 AM PST,99,71.625,4.375,70,5,
Thu 11 Jan 2024 08:33:24 AM PST,99,72.062,4.375,70,5,
Thu 11 Jan 2024 08:33:34 AM PST,99,72.500,4.437,70,5,
Thu 11 Jan 2024 08:33:44 AM PST,99,72.937,4.375,70,5,
Thu 11 Jan 2024 08:33:54 AM PST,99,73.375,4.375,70,5,
Thu 11 Jan 2024 08:34:04 AM PST,99,73.750,4.375,70,5,
Thu 11 Jan 2024 08:34:14 AM PST,99,74.125,4.375,70,5,
Thu 11 Jan 2024 08:34:24 AM PST,99,74.500,4.375,70,5,
Thu 11 Jan 2024 08:34:34 AM PST,99,74.812,4.375,70,5,
Thu 11 Jan 2024 08:34:44 AM PST,99,75.125,4.375,70,5,
Thu 11 Jan 2024 08:34:54 AM PST,99,75.437,4.375,70,5,
Thu 11 Jan 2024 08:35:04 AM PST,99,75.750,4.437,70,5,
Thu 11 Jan 2024 08:35:14 AM PST,99,76.062,4.375,70,5,
Thu 11 Jan 2024 08:35:24 AM PST,99,76.312,4.375,70,5,
Thu 11 Jan 2024 08:35:34 AM PST,99,76.562,4.437,70,5,
Thu 11 Jan 2024 08:35:44 AM PST,99,76.812,4.375,70,5,
Thu 11 Jan 2024 08:35:54 AM PST,99,77.062,4.375,70,5,
Thu 11 Jan 2024 08:36:04 AM PST,99,77.250,4.375,70,5,
Thu 11 Jan 2024 08:36:14 AM PST,99,77.437,4.375,70,5,
Thu 11 Jan 2024 08:36:24 AM PST,99,77.625,4.375,70,5,
Thu 11 Jan 2024 08:36:34 AM PST,99,77.812,4.375,70,5,
Thu 11 Jan 2024 08:36:44 AM PST,99,78.000,4.375,70,5,
Thu 11 Jan 2024 08:36:54 AM PST,99,78.187,4.375,70,5,
Thu 11 Jan 2024 08:37:04 AM PST,99,78.375,4.375,70,5,
Thu 11 Jan 2024 08:37:14 AM PST,99,78.500,4.375,70,5,
Thu 11 Jan 2024 08:37:24 AM PST,99,78.687,4.437,70,5,
Thu 11 Jan 2024 08:37:34 AM PST,99,78.812,4.437,70,5,
Thu 11 Jan 2024 08:37:44 AM PST,99,78.937,4.437,70,5,
Thu 11 Jan 2024 08:37:54 AM PST,99,79.062,4.375,70,5,
Thu 11 Jan 2024 08:38:04 AM PST,99,79.187,4.375,70,5,
Thu 11 Jan 2024 08:38:14 AM PST,99,79.312,4.437,70,5,
Thu 11 Jan 2024 08:38:24 AM PST,99,79.437,4.437,70,5,
Thu 11 Jan 2024 08:38:34 AM PST,99,79.562,4.375,70,5,
Thu 11 Jan 2024 08:38:44 AM PST,99,79.625,4.437,70,5,
Thu 11 Jan 2024 08:38:54 AM PST,99,79.750,4.437,70,5,
Thu 11 Jan 2024 08:39:04 AM PST,99,79.875,4.437,70,5,
Thu 11 Jan 2024 08:39:14 AM PST,99,80.000,4.437,70,5,
Thu 11 Jan 2024 08:39:24 AM PST,99,80.125,4.437,70,5,
Thu 11 Jan 2024 08:39:34 AM PST,99,80.250,4.500,70,5,
Thu 11 Jan 2024 08:39:44 AM PST,99,80.437,4.625,70,5,
Thu 11 Jan 2024 08:39:54 AM PST,99,80.687,6.875,70,5,
Thu 11 Jan 2024 08:40:04 AM PST,99,80.875,17.187,70,5,
Thu 11 Jan 2024 08:40:14 AM PST,97.490,81.187,33.812,70,5,
Thu 11 Jan 2024 08:40:24 AM PST,86.896,81.437,47.312,70,5,
Thu 11 Jan 2024 08:40:34 AM PST,77.177,81.687,54.625,70,5,
Thu 11 Jan 2024 08:40:44 AM PST,72.426,81.937,58.687,70,5,
Thu 11 Jan 2024 08:40:54 AM PST,70.249,82.187,61.187,70,5,
Thu 11 Jan 2024 08:41:04 AM PST,69.217,82.437,62.625,70,5,
Thu 11 Jan 2024 08:41:14 AM PST,69.008,82.625,62.625,70,5,
Thu 11 Jan 2024 08:41:24 AM PST,70.237,82.812,63.000,70,5,
Thu 11 Jan 2024 08:41:34 AM PST,71.028,83.000,63.375,70,5,
Thu 11 Jan 2024 08:41:44 AM PST,71.757,83.125,63.625,70,5,
Thu 11 Jan 2024 08:41:54 AM PST,72.569,83.250,63.875,70,5,
Thu 11 Jan 2024 08:42:04 AM PST,73.339,83.437,64.375,70,5,
Thu 11 Jan 2024 08:42:14 AM PST,73.776,83.500,64.875,70,5,
Thu 11 Jan 2024 08:42:24 AM PST,74.130,83.625,65.250,70,5,
Thu 11 Jan 2024 08:42:34 AM PST,74.546,83.750,65.687,70,5,
Thu 11 Jan 2024 08:42:44 AM PST,74.827,83.875,66.062,70,5,
Thu 11 Jan 2024 08:42:54 AM PST,75.108,83.937,66.437,70,5,
Thu 11 Jan 2024 08:43:04 AM PST,75.326,84.000,66.687,70,5,
Thu 11 Jan 2024 08:43:14 AM PST,75.628,84.125,67.000,70,5,
Thu 11 Jan 2024 08:43:24 AM PST,75.815,84.187,67.312,70,5,
Thu 11 Jan 2024 08:43:34 AM PST,75.951,84.250,67.562,70,5,
Thu 11 Jan 2024 08:43:44 AM PST,76.107,84.375,67.812,70,5,
Thu 11 Jan 2024 08:43:54 AM PST,76.221,84.437,68.062,70,5,
Thu 11 Jan 2024 08:44:04 AM PST,76.294,84.500,68.250,70,5,
Thu 11 Jan 2024 08:44:14 AM PST,76.397,84.562,68.500,70,5,
Thu 11 Jan 2024 08:44:24 AM PST,76.397,84.562,68.625,70,5,
Thu 11 Jan 2024 08:44:34 AM PST,76.501,84.625,68.812,70,5,
Thu 11 Jan 2024 08:44:44 AM PST,76.512,84.687,69.000,70,5,
Thu 11 Jan 2024 08:44:54 AM PST,76.490,84.750,69.187,70,5,
Thu 11 Jan 2024 08:45:04 AM PST,76.438,84.750,69.312,70,5,
Thu 11 Jan 2024 08:45:14 AM PST,76.427,84.812,69.437,70,5,
Thu 11 Jan 2024 08:45:24 AM PST,76.395,84.875,69.562,70,5,
Thu 11 Jan 2024 08:45:34 AM PST,76.343,84.875,69.750,70,5,
Thu 11 Jan 2024 08:45:44 AM PST,76.196,84.937,69.812,70,5,
Thu 11 Jan 2024 08:45:54 AM PST,76.165,84.937,69.937,70,5,
Thu 11 Jan 2024 08:46:04 AM PST,76.050,85.000,70.000,70,5,
Thu 11 Jan 2024 08:46:14 AM PST,75.987,85.000,70.125,70,5,
Thu 11 Jan 2024 08:46:24 AM PST,75.842,85.062,70.187,70,5,
Thu 11 Jan 2024 08:46:34 AM PST,75.749,85.062,70.312,70,5,
Thu 11 Jan 2024 08:46:44 AM PST,75.572,85.062,70.375,70,5,
Thu 11 Jan 2024 08:46:54 AM PST,75.447,85.125,70.437,70,5,
Thu 11 Jan 2024 08:47:04 AM PST,75.313,85.125,70.500,70,5,
Thu 11 Jan 2024 08:47:14 AM PST,75.167,85.125,70.562,70,5,
Thu 11 Jan 2024 08:47:24 AM PST,75.012,85.187,70.625,70,5,
Thu 11 Jan 2024 08:47:34 AM PST,74.845,85.187,70.687,70,5,
Thu 11 Jan 2024 08:47:44 AM PST,74.669,85.187,70.750,70,5,
Thu 11 Jan 2024 08:47:54 AM PST,74.481,85.187,70.812,70,5,
Thu 11 Jan 2024 08:48:04 AM PST,74.284,85.187,70.875,70,5,
Thu 11 Jan 2024 08:48:14 AM PST,74.076,85.187,70.875,70,5,
Thu 11 Jan 2024 08:48:24 AM PST,73.931,85.250,70.937,70,5,
Thu 11 Jan 2024 08:48:34 AM PST,73.713,85.250,70.937,70,5,
Thu 11 Jan 2024 08:48:44 AM PST,73.557,85.250,71.000,70,5,
Thu 11 Jan 2024 08:48:54 AM PST,73.328,85.250,71.062,70,5,
Thu 11 Jan 2024 08:49:04 AM PST,73.089,85.250,71.062,70,5,
