           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T sthd | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  14:08:52 |    99 | 25.000 | absent | 74.750 | 25.437 | 30.187 |     98 |   0 |      F |      0 |      0 |     90 |      0 |  11440 |
  14:09:02 |    99 | 25.062 | absent | 74.750 | 25.500 | 30.000 |     98 |   0 |      F |     10 |      1 |     90 |      1 |  11438 |
  14:09:12 |    99 | 25.062 | absent | 74.812 | 25.500 | 30.250 |     98 |   0 |      F |     10 |      3 |     90 |      1 |  11436 |
  14:09:22 |    99 | 25.062 | absent | 74.812 | 25.500 | 29.937 |     98 |   0 |      F |     10 |      4 |     90 |      1 |  11435 |
  15:17:15 |    99 | 24.500 | absent | 75.187 | 30.875 | 33.750 |     98 |   0 |      F |      9 |    629 |     90 |      1 |  10873 |
  15:17:25 |    99 | 24.500 | absent | 75.187 | 30.875 | 33.875 |     98 |   0 |      F |      5 |    630 |     90 |      0 |  10872 |
  15:17:35 |    99 | 24.562 | absent | 75.187 | 30.875 | 33.937 |     98 |   0 |      H |      5 |    630 |     90 |      0 |  10872 |
  15:17:45 |    99 | 24.562 | absent | 75.187 | 30.875 | 33.937 |     98 |   0 |      H |      5 |    631 |     90 |      0 |  10871 |
  09:31:22 |    99 | 22.125 | absent | 75.250 | 26.750 | 28.500 |     98 |   2 |      H |     10 |   3548 |     90 |      1 |   8240 |
  09:31:33 |    99 | 22.125 | absent | 75.250 | 26.750 | 28.437 |     98 |   3 |      H |     10 |   3550 |     90 |      1 |   8238 |
  09:31:43 |    99 | 22.062 | absent | 75.250 | 26.687 | 28.562 |     98 |   3 |     MR |     10 |   3551 |     90 |      1 |   8237 |
  09:31:53 |    99 | 22.125 | absent | 75.250 | 26.687 | 28.437 |     98 |   3 |     MR |     10 |   3553 |     90 |      1 |   8235 |
  19:01:28 |    99 | 24.000 | absent | 75.375 | 32.000 | 35.375 |     98 |  11 |     MR |      9 |   7556 |     89 |      1 |   4651 |
  19:01:38 |    99 | 23.875 | absent | 75.375 | 32.062 | 35.375 |     98 |  11 |     MR |      9 |   7558 |     89 |      1 |   4650 |
  19:01:48 |    99 | 23.750 | absent | 75.375 | 32.062 | 35.437 |     98 |  11 |      ? |      9 |   7559 |     89 |      1 |   4648 |
  19:01:58 |    99 | 23.625 | absent | 75.375 | 32.062 | 35.562 |     98 |  11 |      ? |      9 |   7561 |     89 |      1 |   4647 |
  22:04:09 |     0 | 22.062 | absent | 52.750 | 32.250 | 28.062 |     98 |  14 |      ? |      0 |   9161 |     89 |      0 |   3209 |
  22:04:19 |     0 | 22.062 | absent | 52.687 | 32.187 | 28.000 |     98 |  14 |      ? |      0 |   9161 |     89 |      0 |   3209 |
04-26---------------------------------------------------------------------------------------------------------------------------------
  07:56:26 |    99 | 19.125 | absent | 18.000 | 17.125 | 14.625 |     98 |  15 |      T |      0 |   9161 |     89 |      0 |   3209 |
  07:56:37 |    99 | 19.187 | absent | 18.000 | 17.187 | 14.687 |     98 |  15 |      T |      0 |   9161 |     89 |      0 |   3209 |
  09:25:07 |    99 | 20.187 | absent | 75.250 | 21.250 | 25.312 |     98 |  15 |      T |      0 |   9161 |     89 |      0 |   3209 |
  09:25:17 |    99 | 20.187 | absent | 75.250 | 21.250 | 25.312 |     98 |  15 |      T |      8 |   9162 |     89 |      1 |   3207 |
  09:25:27 |    99 | 20.250 | absent | 75.250 | 21.312 | 25.312 |     98 |  15 |      T |      8 |   9163 |     89 |      1 |   3206 |
  14:09:31 |     0 | 25.000 | absent | 76.062 | 30.125 | 28.000 |     98 |  18 |      T |     16 |  12833 |     71 |      1 |    -14 |
  14:09:41 |     0 | 24.937 | absent | 73.312 | 30.000 | 27.250 |     98 |  18 |      T |     16 |  12835 |     71 |      1 |    -16 |
  14:09:51 |     0 | 24.687 | absent | 71.250 | 29.937 | 26.812 |     98 |  18 |      T |     16 |  12838 |     71 |      1 |    -18 |
  14:10:01 |     0 | 24.562 | absent | 69.562 | 29.875 | 26.437 |     98 |  18 |      T |      0 |  12838 |     71 |      0 |    -18 |
