           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T boil | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  07:16:23 |    40 | 99.999 | 18.500 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      0 |     80 |      0 |   8999 |
  07:16:33 |40.000 | 99.999 | 18.625 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      5 |     80 |      3 |   8995 |
  07:16:43 |58.333 | 99.999 | 18.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      9 |     80 |      3 |   8992 |
  07:16:53 |78.537 | 99.999 | 18.750 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     14 |     80 |      3 |   8988 |
  07:17:03 |    99 | 99.999 | 18.812 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     19 |     80 |      4 |   8984 |
  07:17:13 |    99 | 99.999 | 18.812 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     24 |     80 |      3 |   8980 |
  07:17:23 |    99 | 99.999 | 18.875 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     29 |     80 |      3 |   8976 |
  07:17:33 |    99 | 99.999 | 18.937 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     34 |     80 |      4 |   8972 |
  07:17:43 |    99 | 99.999 |     0. |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     39 |     80 |      3 |   8968 |
  07:17:53 |    99 | 17.000 | 19.062 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     44 |     80 |      3 |   8964 |
  07:18:03 |98.762 | 17.250 | 19.125 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     49 |     80 |      3 |   8960 |
