Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 10:56:13 2024,26.437,23.625,244.5575175,-0.07027777777781012
Fri Jun 14 10:56:45 2024,26.5,23.625,244.59625,-0.05027777777781012
Fri Jun 14 10:57:18 2024,26.5,23.625,346.22125,0.024722222222189883
Fri Jun 14 10:57:50 2024,26.562,23.687,244.638455,0.05222222222218988
Fri Jun 14 10:58:23 2024,26.562,23.687,244.665955,0.024722222222189883
Fri Jun 14 10:58:55 2024,26.562,23.687,244.708455,0.15722222222218987
Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 11:01:37 2024,26.687,23.875,0.11939250000003085,0.00444444444437977
Fri Jun 14 11:02:10 2024,26.75,23.875,0.198125,0.03944444444437977
Fri Jun 14 11:02:42 2024,26.812,23.937,101.76783000000003,-0.010555555555620232
Fri Jun 14 11:03:15 2024,26.812,23.937,0.12533000000003086,0.10194444444437976
Fri Jun 14 11:03:47 2024,26.812,24.0,0.14783000000003085,-0.01805555555562023
Fri Jun 14 11:04:19 2024,26.875,24.0,0.3140625,0.04694444444437977
Fri Jun 14 11:04:52 2024,26.875,24.0,0.1765625,0.02694444444437977
Fri Jun 14 11:05:24 2024,26.875,24.062,0.1690625,0.04444444444437977
Fri Jun 14 11:05:57 2024,26.937,24.062,0.26626750000003085,0.04444444444437977
Fri Jun 14 11:06:29 2024,26.937,24.062,0.23376750000003085,0.12944444444437977
Fri Jun 14 11:07:02 2024,27.0,24.062,0.4,0.13194444444437978
Fri Jun 14 11:07:34 2024,27.0,24.125,0.1975,0.08194444444437977
Fri Jun 14 11:08:07 2024,27.062,24.125,0.32720500000003083,0.10944444444437977
Fri Jun 14 11:08:39 2024,27.0,24.125,0.165,0.09944444444437978
Fri Jun 14 11:09:11 2024,27.125,24.125,0.3359375,0.14444444444437976
Fri Jun 14 11:09:44 2024,27.062,24.187,0.19970500000003086,0.17194444444437976
Fri Jun 14 11:10:16 2024,27.125,24.187,0.3084375,0.18444444444437977
Fri Jun 14 11:10:49 2024,27.125,24.187,0.2309375,0.16194444444437978
Fri Jun 14 11:11:21 2024,27.125,24.25,0.2359375,0.17694444444437976
Fri Jun 14 11:11:54 2024,27.187,24.25,0.2781425000000308,0.21944444444437977
Fri Jun 14 11:12:26 2024,27.187,24.25,0.30314250000003085,0.24694444444437977
Fri Jun 14 11:12:59 2024,27.187,24.25,0.26314250000003087,0.26194444444437975
Fri Jun 14 11:13:31 2024,27.25,24.25,0.214375,0.2919444444443798
Fri Jun 14 11:14:03 2024,27.25,24.312,0.239375,0.24944444444437977
Fri Jun 14 11:14:36 2024,27.25,24.312,0.211875,0.27944444444437977
Fri Jun 14 11:15:08 2024,27.312,24.312,0.32908000000003085,0.24194444444437976
Fri Jun 14 11:15:41 2024,27.312,24.312,0.24408000000003086,0.2919444444443798
Fri Jun 14 11:16:13 2024,27.312,24.312,0.23908000000003085,0.27694444444437977
Fri Jun 14 11:16:46 2024,27.375,24.312,0.2778125,0.3644444444443798
Fri Jun 14 11:17:18 2024,27.375,24.312,0.2028125,0.32944444444437976
Fri Jun 14 11:17:51 2024,27.375,24.312,0.3053125,0.4094444444443798
Fri Jun 14 11:18:23 2024,27.437,24.375,0.29751750000003085,0.4194444444443798
Fri Jun 14 11:18:55 2024,27.375,24.375,0.2403125,0.3644444444443798
Fri Jun 14 11:19:28 2024,27.437,24.375,0.26751750000003083,0.39194444444437976
Fri Jun 14 11:20:00 2024,27.437,24.375,0.29001750000003085,0.3644444444443798
Fri Jun 14 11:20:33 2024,27.437,24.375,0.22251750000003084,0.40694444444437977
Fri Jun 14 11:21:05 2024,27.5,24.375,0.18125,0.3619444444443798
Fri Jun 14 11:21:37 2024,27.562,24.437,0.31595500000003085,0.3469444444443798
Fri Jun 14 11:22:10 2024,27.562,24.437,0.40095500000003087,0.38444444444437975
Fri Jun 14 11:22:42 2024,27.562,24.437,0.26845500000003086,0.44194444444437975
Fri Jun 14 11:23:15 2024,27.625,24.437,0.3771875,0.4294444444443798
Fri Jun 14 11:23:47 2024,27.625,24.5,0.2921875,0.46444444444437977
Fri Jun 14 11:24:20 2024,27.687,24.5,0.33689250000003085,0.4719444444443798
Fri Jun 14 11:24:52 2024,27.75,24.5,0.495625,0.3469444444443798
Fri Jun 14 11:25:25 2024,27.75,24.5,0.335625,0.32194444444437975
Fri Jun 14 11:25:57 2024,27.812,24.5,0.48533000000003085,0.46194444444437976
Fri Jun 14 11:26:29 2024,27.812,24.562,0.42283000000003085,0.4894444444443798
Fri Jun 14 11:27:02 2024,27.812,24.562,0.3303300000000309,0.44694444444437975
Fri Jun 14 11:27:34 2024,27.875,24.562,0.4515625,0.5269444444443798
Fri Jun 14 11:28:07 2024,27.875,24.625,0.5390625,0.4744444444443798
Fri Jun 14 11:28:39 2024,27.937,24.625,0.46126750000003086,0.5869444444443798
Fri Jun 14 11:29:11 2024,28.0,24.625,0.5525,0.5619444444443797
Fri Jun 14 11:29:44 2024,28.062,24.625,0.6297050000000308,0.5744444444443798
Fri Jun 14 11:30:16 2024,28.062,24.625,0.5322050000000309,0.6594444444443798
Fri Jun 14 11:30:49 2024,28.125,24.687,0.6109375,0.6419444444443798
Fri Jun 14 11:31:21 2024,28.125,24.687,0.5909375,0.6019444444443798
Fri Jun 14 11:31:53 2024,28.125,24.75,0.5709375,0.6294444444443797
Fri Jun 14 11:32:26 2024,28.187,24.75,0.5456425000000309,0.6494444444443798
Fri Jun 14 11:32:58 2024,28.25,24.75,0.669375,0.6794444444443798
Fri Jun 14 11:33:31 2024,28.25,24.75,0.644375,0.6544444444443798
Fri Jun 14 11:34:03 2024,28.312,24.75,0.7115800000000309,0.6169444444443798
Fri Jun 14 11:34:35 2024,28.312,24.812,0.6890800000000309,0.6769444444443797
Fri Jun 14 11:35:08 2024,28.312,24.812,0.7265800000000309,0.6844444444443798
Fri Jun 14 11:35:40 2024,28.375,24.812,0.6678125,0.7019444444443798
Fri Jun 14 11:36:13 2024,28.312,24.875,0.45158000000003085,0.6769444444443797
Fri Jun 14 11:36:45 2024,28.375,24.875,0.6153125,0.7394444444443797
Fri Jun 14 11:37:18 2024,28.437,24.875,0.7100175000000308,0.7294444444443797
Fri Jun 14 11:37:50 2024,28.437,24.875,0.6025175000000309,0.7694444444443798
Fri Jun 14 11:38:23 2024,28.437,24.937,0.5925175000000309,0.7594444444443798
Fri Jun 14 11:38:55 2024,28.5,24.937,0.60125,0.7419444444443798
Fri Jun 14 11:39:28 2024,28.5,24.937,0.62625,0.6994444444443798
Fri Jun 14 11:40:00 2024,28.562,25.0,0.6734550000000309,0.8294444444443798
Fri Jun 14 11:40:33 2024,28.625,25.0,0.7196875,0.8019444444443797
Fri Jun 14 11:41:05 2024,28.625,25.0,0.7021875,0.8569444444443798
Fri Jun 14 11:41:38 2024,28.687,25.062,0.7168925000000308,0.8219444444443798
Fri Jun 14 11:42:10 2024,28.687,25.062,0.7118925000000309,0.8919444444443798
Fri Jun 14 11:42:43 2024,28.75,25.062,0.848125,0.8669444444443798
Fri Jun 14 11:43:15 2024,28.75,25.062,0.740625,0.9369444444443797
Fri Jun 14 11:43:48 2024,28.75,25.062,0.673125,0.8869444444443798
Fri Jun 14 11:44:20 2024,28.812,25.125,0.7728300000000309,0.9469444444443798
Fri Jun 14 11:44:52 2024,28.812,25.125,0.7903300000000308,0.9344444444443798
Fri Jun 14 11:45:25 2024,28.875,25.125,0.7790625,0.9294444444443798
Fri Jun 14 11:45:57 2024,28.875,25.187,0.7915625,0.8719444444443798
Fri Jun 14 11:46:30 2024,28.875,25.187,0.8040625,0.9494444444443798
Fri Jun 14 11:47:02 2024,28.875,25.187,0.7465625,0.9794444444443797
Fri Jun 14 11:47:35 2024,28.875,25.187,0.6590625,0.9294444444443798
Fri Jun 14 11:48:07 2024,28.875,25.25,0.5790625,0.9719444444443798
Fri Jun 14 11:48:40 2024,28.937,25.25,0.6612675000000309,0.9269444444443797
Fri Jun 14 11:49:12 2024,28.937,25.312,0.6387675000000308,0.9619444444443798
Fri Jun 14 11:49:45 2024,29.0,25.312,0.705,1.0794444444443798
Fri Jun 14 11:50:17 2024,29.0,25.312,0.705,1.0219444444443797
Fri Jun 14 11:50:50 2024,29.062,25.312,0.5997050000000308,1.0069444444443798
Fri Jun 14 11:51:22 2024,29.062,25.312,0.7397050000000308,1.0894444444443798
Fri Jun 14 11:51:55 2024,29.125,25.312,0.7134375,1.0519444444443797
Fri Jun 14 11:52:27 2024,29.125,25.375,0.7284375,1.1569444444443797
Fri Jun 14 11:52:59 2024,29.125,25.437,0.6684375,1.1894444444443797
Fri Jun 14 11:53:32 2024,29.187,25.437,0.7931425000000308,1.0794444444443798
Fri Jun 14 11:54:04 2024,29.187,25.437,0.6631425000000308,1.1444444444443798
Fri Jun 14 11:54:37 2024,29.25,25.437,0.796875,1.0844444444443797
Fri Jun 14 11:55:09 2024,29.187,25.437,0.5681425000000309,1.1694444444443797
Fri Jun 14 11:55:42 2024,29.25,25.5,0.684375,1.1969444444443798
Fri Jun 14 11:56:14 2024,29.312,25.5,0.7440800000000308,1.1869444444443797
Fri Jun 14 11:56:47 2024,29.312,25.5,0.6765800000000308,1.1944444444443798
Fri Jun 14 11:57:19 2024,29.375,25.5,0.8128125,1.2644444444443799
Fri Jun 14 11:57:52 2024,29.437,25.562,0.7825175000000308,1.2944444444443797
Fri Jun 14 11:58:24 2024,29.375,25.562,0.6328125,1.3594444444443798
Fri Jun 14 11:58:57 2024,29.437,25.562,0.8275175000000309,1.2744444444443799
Fri Jun 14 11:59:29 2024,29.375,25.625,0.6478125,1.2269444444443798
Fri Jun 14 12:00:02 2024,29.437,25.625,0.7200175000000308,1.3094444444443798
Fri Jun 14 12:00:34 2024,29.437,25.625,0.6975175000000309,1.2594444444443798
Fri Jun 14 12:01:07 2024,29.5,25.625,0.77625,1.3219444444443798
Fri Jun 14 12:01:39 2024,29.5,25.687,0.67125,1.3744444444443797
Fri Jun 14 12:02:11 2024,29.562,25.687,0.7584550000000309,1.4219444444443798
Fri Jun 14 12:02:44 2024,29.562,25.687,0.6759550000000308,1.2494444444443797
Fri Jun 14 12:03:16 2024,29.625,25.75,0.8646875,1.4669444444443798
Fri Jun 14 12:03:49 2024,29.625,25.75,0.6571875,1.3619444444443798
Fri Jun 14 12:04:21 2024,29.625,25.75,0.6871875,1.3619444444443798
Fri Jun 14 12:04:54 2024,29.625,25.75,0.5896875,1.4144444444443798
Fri Jun 14 12:05:26 2024,29.687,25.812,0.7018925000000309,1.3819444444443798
Fri Jun 14 12:05:59 2024,29.687,25.812,0.7493925000000309,1.5569444444443798
Fri Jun 14 12:06:31 2024,29.687,25.875,0.6018925000000308,1.4694444444443797
Fri Jun 14 12:07:04 2024,29.75,25.875,0.763125,1.5544444444443797
Fri Jun 14 12:07:36 2024,29.75,25.875,0.650625,1.5244444444443799
Fri Jun 14 12:08:08 2024,29.812,25.875,0.6828300000000308,1.5044444444443799
Fri Jun 14 12:08:41 2024,29.812,25.937,0.6503300000000308,1.5269444444443798
Fri Jun 14 12:09:13 2024,29.812,25.937,0.5428300000000309,1.5894444444443798
Fri Jun 14 12:09:46 2024,29.812,26.0,0.5878300000000308,1.5594444444443798
Fri Jun 14 12:10:18 2024,29.875,25.937,0.7790625,1.6169444444443797
Fri Jun 14 12:10:51 2024,29.812,26.0,0.5128300000000309,1.5269444444443798
Fri Jun 14 12:11:23 2024,29.875,26.0,0.5940625,1.5419444444443797
Fri Jun 14 12:11:56 2024,29.937,26.062,0.7012675000000308,1.5944444444443797
Fri Jun 14 12:12:28 2024,29.875,26.062,0.5515625,1.7119444444443799
Fri Jun 14 12:13:01 2024,29.937,26.062,0.5512675000000309,1.6919444444443799
Fri Jun 14 12:13:33 2024,29.937,26.125,0.5287675000000308,1.6469444444443797
Fri Jun 14 12:14:05 2024,29.937,26.125,0.5287675000000308,1.6819444444443798
Fri Jun 14 12:14:38 2024,30.0,26.125,0.6225,1.6769444444443797
Fri Jun 14 12:15:10 2024,29.937,26.125,0.44626750000003085,1.7744444444443799
Fri Jun 14 12:15:43 2024,30.0,26.187,0.5425,1.7194444444443797
Fri Jun 14 12:16:15 2024,30.0,26.187,0.3975,1.8244444444443797
Fri Jun 14 12:16:48 2024,30.062,26.187,0.5447050000000309,1.7344444444443798
Fri Jun 14 12:17:20 2024,30.0,26.187,0.415,1.7819444444443797
Fri Jun 14 12:17:53 2024,30.062,26.25,0.44970500000003083,1.8444444444443797
Fri Jun 14 12:18:25 2024,30.062,26.187,0.33970500000003084,1.7719444444443797
Fri Jun 14 12:18:58 2024,30.062,26.187,0.35470500000003086,1.8044444444443797
Fri Jun 14 12:19:30 2024,30.125,26.25,0.4684375,1.8869444444443797
Fri Jun 14 12:20:03 2024,30.125,26.25,0.3984375,1.9044444444443798
Fri Jun 14 12:20:35 2024,30.187,26.312,0.5581425000000309,1.8744444444443797
Fri Jun 14 12:21:07 2024,30.187,26.25,0.5231425000000308,1.9194444444443797
Fri Jun 14 12:21:40 2024,30.25,26.312,0.551875,1.8869444444443797
Fri Jun 14 12:22:12 2024,30.187,26.312,0.45314250000003087,1.9119444444443798
Fri Jun 14 12:22:45 2024,30.312,26.375,0.5565800000000308,1.8644444444443797
Fri Jun 14 12:23:17 2024,30.25,26.375,0.451875,1.8744444444443797
Fri Jun 14 12:23:50 2024,30.25,26.375,0.396875,1.9794444444443797
Fri Jun 14 12:24:22 2024,30.25,26.437,0.326875,1.9544444444443798
Fri Jun 14 12:24:55 2024,30.375,26.437,0.4778125,1.9519444444443799
Fri Jun 14 12:25:27 2024,30.312,26.437,0.39158000000003085,2.0169444444443796
Fri Jun 14 12:25:59 2024,30.312,26.437,0.39408000000003085,2.02194444444438
Fri Jun 14 12:26:32 2024,30.312,26.5,0.3565800000000309,2.0794444444443796
Fri Jun 14 12:27:04 2024,30.375,26.5,0.4528125,2.00444444444438
Fri Jun 14 12:27:37 2024,30.375,26.5,0.3253125,2.08194444444438
Fri Jun 14 12:28:09 2024,30.375,26.5,0.3678125,2.06944444444438
Fri Jun 14 12:28:42 2024,30.437,26.562,0.40501750000003084,2.0944444444443797
Fri Jun 14 12:29:14 2024,30.375,26.562,0.2053125,2.08694444444438
Fri Jun 14 12:29:47 2024,30.437,26.562,0.40751750000003084,2.08444444444438
Fri Jun 14 12:30:19 2024,30.5,26.625,0.33875,2.16944444444438
Fri Jun 14 12:30:52 2024,30.5,26.625,0.37875,2.2194444444443797
Fri Jun 14 12:31:24 2024,30.562,26.625,0.5759550000000309,2.1144444444443797
Fri Jun 14 12:31:57 2024,30.5,26.625,0.36625,2.20694444444438
Fri Jun 14 12:32:29 2024,30.5,26.625,0.28625,2.19444444444438
Fri Jun 14 12:33:01 2024,30.562,26.687,0.43595500000003085,2.3269444444443796
Fri Jun 14 12:33:34 2024,30.562,26.687,0.32345500000003086,2.24944444444438
Fri Jun 14 12:34:06 2024,30.562,26.687,0.27595500000003087,2.2044444444443796
Fri Jun 14 12:34:39 2024,30.562,26.687,0.24345500000003084,2.1994444444443797
Fri Jun 14 12:35:11 2024,30.562,26.75,0.2834550000000309,2.3019444444443797
Fri Jun 14 12:35:44 2024,30.562,26.75,0.23595500000003086,2.35444444444438
Fri Jun 14 12:36:16 2024,30.562,26.75,0.22345500000003085,2.37944444444438
Fri Jun 14 12:36:49 2024,30.625,26.812,0.2721875,2.29444444444438
